time,province,county,city,area,neighborhood,title,type,price,parking,rooms,sqrm,floor,surface,elevator,tag
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,549000,1,7,402,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet en Arenys de Munt,venta,2350000,0,12,1200,None,None,None,Lujo
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle de la Generalitat, Arenys de Munt",venta,340000,1,5,178,3,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Ático en riera i Penya, Arenys de Munt",venta,215000,0,3,106,5,outdoor,0,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en Generalitat, Arenys de Munt",venta,340000,1,5,178,3,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en Generalitat, Arenys de Munt",venta,340000,1,5,178,3,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Ático en riera i Penya, Arenys de Munt",venta,215000,0,3,106,None,None,0,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa de pueblo en Arenys de Munt,venta,549000,0,5,364,None,None,None,Masia
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en avenida Til·lers, Arenys de Munt",venta,360000,0,4,190,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,212000,0,3,64,9,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en paseo Joan XXIII, Arenys de Munt",venta,145000,0,1,50,2,None,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,379000,0,5,150,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en Urbanització Collsacreu, Arenys de Munt",venta,420000,1,5,210,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Chalet en calle Rial de Can Bellsolell, Arenys de Munt",venta,495000,1,5,266,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en heures, Arenys de Munt",venta,465000,1,5,266,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en Les Suredes, Arenys de Munt",venta,600000,1,7,417,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,450000,1,4,250,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Chalet adosado en Batlle Trias, 7, Arenys de Munt",venta,499300,1,5,289,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,445000,1,4,206,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet pareado en Arenys de Munt,venta,530000,1,4,261,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,680000,1,4,204,None,None,None,Villa
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle de la Generalitat, Arenys de Munt",venta,340000,1,5,178,3,None,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,2350000,1,12,930,None,None,None,Villa
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en rasa, 34, Arenys de Munt",venta,140000,0,3,76,3,outdoor,0,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet adosado en Arenys de Munt,venta,795000,1,4,318,None,None,None,Lujo
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Ático en Arenys de Munt,venta,215000,0,3,106,5,outdoor,0,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,620000,1,5,289,None,None,None,Lujo
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,450000,1,4,225,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en calle Manolo Hugué, Arenys de Munt",venta,490000,1,6,199,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en calle Enric Morera, 1, Arenys de Munt",venta,990000,1,14,742,None,None,None,Masia
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,349000,0,4,218,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Finca rústica en carretera de Torrentbó, Arenys de Munt",venta,2350000,1,12,1200,None,None,None,Lujo
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,212000,0,3,64,None,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,590000,1,6,595,None,None,None,Villa
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,690000,0,4,520,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,690000,0,4,520,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet en Arenys de Munt,venta,310000,0,5,232,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet en Arenys de Munt,venta,360000,0,4,369,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Ático en Arenys de Munt,venta,215000,0,3,106,None,outdoor,0,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Chalet en avenida del Maresme, Arenys de Munt",venta,290000,0,5,219,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet en Arenys de Munt,venta,379000,0,4,146,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en calle Pere Gili, Arenys de Munt",venta,570000,1,5,296,None,None,None,Villa
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,850000,0,9,340,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Masía en Arenys de Munt,venta,865000,0,10,542,None,None,None,Masia
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Estudio en avenida Sant Jordi, 29, Arenys de Munt",venta,560000,0,4,Bajo sin ascen,None,None,None,Loft
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet en Arenys de Munt,venta,499300,0,5,289,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet adosado en Arenys de Munt,venta,126000,1,3,153,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,110000,0,3,93,None,outdoor,0,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en calle Joan Portabella, 22, Arenys de Munt",venta,580000,1,8,1232,None,None,None,Villa
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa de pueblo en carretera Sant Celoni, Arenys de Munt",venta,549000,1,5,365,None,None,None,Masia
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Chalet adosado en calle Batlle Trias, Arenys de Munt",venta,499300,1,5,289,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en avenida Sant Carles, Arenys de Munt",venta,97000,0,3,72,1,outdoor,0,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Masía en avenida del Remei, Arenys de Munt",venta,2500000,0,12,1046,None,None,None,Lujo
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,192000,0,2,93,None,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en calle els Ametllers, Arenys de Munt",venta,360000,0,5,200,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Finca rústica en calle de la Gauxa, Arenys de Munt",venta,365000,1,4,212,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle de la Generalitat, Arenys de Munt",venta,340000,1,5,178,3,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en la creueta, Arenys de Munt",venta,480000,1,4,590,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle Llorenç Trias, Arenys de Munt",venta,212000,0,3,64,9,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Dúplex en calle de Can Barbeta, 2, Arenys de Munt",venta,295000,1,2,113,2,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle de Can Barbeta, 2, Arenys de Munt",venta,305000,1,3,90,0,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle de Can Barbeta, 2, Arenys de Munt",venta,220000,1,2,68,1,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Dúplex en calle de Can Barbeta, 2, Arenys de Munt",venta,360000,1,4,149,1,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,365000,1,4,240,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle Enric morera, 3, Arenys de Munt",venta,260000,1,2,99,1,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Dúplex en calle de Can Barbeta, 2, Arenys de Munt",venta,360000,1,4,149,1,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Dúplex en calle Enric morera, 3, Arenys de Munt",venta,360000,1,4,134,2,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle Enric morera, 3, Arenys de Munt",venta,325000,1,3,99,0,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle de Can Barbeta, 2, Arenys de Munt",venta,290000,1,3,79,0,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle Enric morera, 3, Arenys de Munt",venta,310000,1,3,107,1,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Dúplex en calle Enric morera, 3, Arenys de Munt",venta,375000,1,4,150,2,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Dúplex en calle de Can Barbeta, 2, Arenys de Munt",venta,295000,1,2,113,2,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle Enric morera, 3, Arenys de Munt",venta,260000,1,2,99,1,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle de Can Barbeta, 2, Arenys de Munt",venta,305000,1,3,90,0,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle de Can Barbeta, 2, Arenys de Munt",venta,250000,1,3,78,1,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle de Can Barbeta, 2, Arenys de Munt",venta,260000,1,3,89,0,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,750000,1,5,1000,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en avenida Sant Jordi, Arenys de Munt",venta,155500,0,2,76,2,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en Lloc Urbanitzacio Collsacreu, 89, Arenys de Munt",venta,495000,1,6,198,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle Llorenç Trias, Arenys de Munt",venta,212000,0,3,64,9,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Chalet adosado en carretera Sant Celoni, 2, Arenys de Munt",venta,286000,1,3,279,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en Urbanitzacio La Creueta, Arenys de Munt",venta,379000,0,6,200,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Ático en Arenys de Munt,venta,189000,0,3,75,1,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en avenida Til·lers, Arenys de Munt",venta,420000,1,6,274,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en de la Generalitat, Arenys de Munt",venta,340000,1,5,178,3,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en riera i Penya, Arenys de Munt",venta,215000,0,3,106,5,outdoor,0,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Cortijo en avenida Sant Jordi, Arenys de Munt",venta,865000,0,10,600,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle de la Generalitat, Arenys de Munt",venta,340000,1,5,178,3,None,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en Urbanització Collsacreu, Arenys de Munt",venta,365000,1,4,250,0,outdoor,0,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Masía en carretera de Torrentbó, Arenys de Munt",venta,2350000,1,9,1200,None,None,None,Masia
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,212000,0,3,64,8,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en Primer de maig, Arenys de Munt",venta,290000,1,3,112,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,390000,0,4,217,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,340000,0,5,178,None,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,415000,0,6,400,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,415000,0,6,400,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,160000,0,4,99,3,outdoor,0,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle de Can Barbeta, 2, Arenys de Munt",venta,260000,1,3,97,1,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet pareado en Arenys de Munt,venta,397000,1,3,220,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle Enric morera, 3, Arenys de Munt",venta,295000,1,3,99,1,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Chalet en calle Batlle Trias, 7, Arenys de Munt",venta,499300,1,5,289,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Ático en Arenys de Munt,venta,215000,0,3,106,5,outdoor,0,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle de Can Barbeta, 2, Arenys de Munt",venta,210000,1,2,65,0,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet en Arenys de Munt,venta,695000,1,7,417,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Ático en riera i Penya, Arenys de Munt",venta,215000,0,3,106,None,None,0,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en carretera Sant Celoni, Arenys de Munt",venta,412000,1,5,340,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet en Arenys de Munt,venta,575000,1,5,313,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle de la Generalitat, Arenys de Munt",venta,310000,0,4,157,1,None,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,475000,1,5,402,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,340000,1,5,178,3,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,212000,0,3,70,9,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle Llorenç Trias, 28, Arenys de Munt",venta,225000,0,2,116,2,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en ???????????????, 147, Arenys de Munt",venta,485000,1,5,266,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en Urbanització Collsacreu, 68, Arenys de Munt",venta,598000,1,5,402,None,None,None,Villa
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en calle Manolo Hugué, Arenys de Munt",venta,490000,0,6,632,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,110000,0,3,92,1,outdoor,0,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet adosado en Arenys de Munt,venta,415000,0,5,351,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,212000,0,3,64,9,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,209000,0,3,115,1,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet adosado en Arenys de Munt,venta,465000,1,4,390,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,134865,0,2,54,0,outdoor,0,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,395000,0,4,150,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,550000,1,4,261,None,None,None,Lujo
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Chalet pareado en calle de la Gauxa, Arenys de Munt",venta,224000,0,5,229,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,310000,1,5,232,3,outdoor,0,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,158000,1,2,55,3,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet adosado en Arenys de Munt,venta,349000,0,4,218,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet pareado en Arenys de Munt,venta,615000,1,5,300,None,None,None,Lujo
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet adosado en Arenys de Munt,venta,286000,1,3,279,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet adosado en Arenys de Munt,venta,530000,1,4,260,None,None,None,Lujo
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Chalet pareado en C-61, 36, Arenys de Munt",venta,126000,1,3,153,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet en Arenys de Munt,venta,615000,1,5,289,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,170000,0,2,60,1,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,169900,0,4,113,None,outdoor,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,340000,1,5,178,3,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Ático en Arenys de Munt,venta,215000,0,3,106,8,None,0,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,472500,1,3,201,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,300000,0,5,200,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Chalet en calle Manolo Hugué, Arenys de Munt",venta,490000,1,6,200,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en Sant Antoni, Arenys de Munt",venta,399000,1,3,254,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet en Arenys de Munt,venta,290880,0,4,524,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet en Arenys de Munt,venta,257000,1,3,249,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet en Arenys de Munt,venta,549000,0,5,365,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet adosado en Arenys de Munt,venta,530000,1,4,260,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,340000,1,5,178,3,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,575000,1,6,350,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Dúplex en Arenys de Munt,venta,272800,0,3,77,2,None,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Casa o chalet independiente en Sta Rosa Dels Pins, 10, Arenys de Munt",venta,550000,1,4,265,None,None,None,Villa
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en calle de Sobirans, 20, Arenys de Munt",venta,184900,0,3,85,2,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,155500,0,2,76,None,None,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Chalet pareado en Arenys de Munt,venta,360000,0,4,207,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Ático en Arenys de Munt,venta,138000,0,3,77,3,outdoor,0,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,179000,1,2,71,2,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,126000,0,1,153,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,155500,0,2,76,2,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,97000,0,3,72,1,outdoor,0,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Ático en Arenys de Munt,venta,215000,0,3,106,None,outdoor,0,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,170000,0,2,67,None,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Piso en Arenys de Munt,venta,157000,1,2,78,None,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Chalet en Urbanització Collsacreu, Arenys de Munt",venta,257000,1,3,207,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,Casa o chalet independiente en Arenys de Munt,venta,499300,1,5,289,None,None,None,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en carretera de Torrentbó, 24, Arenys de Munt",venta,219000,0,3,80,1,outdoor,1,None
01/04/2023,Barcelona,Maresme,Arenys de Munt,None,None,"Piso en rasa, 34, Arenys de Munt",venta,138000,0,3,76,3,outdoor,0,None
